file,label,scope,eta_min,eta_max,pt_min,pt_max,n_events,mean_offset_GeV,std_offset_GeV,sem_offset_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,0.25,0.5,82,-0.12863466825170114,0.06152840034218266,0.006794675146731341
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,0.5,0.75,541,-0.08948394129332068,0.10184976070105078,0.00437886322803066
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,0.75,1.0,541,-0.14793491148894056,0.13797558566059587,0.005932033754979106
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,1.0,1.5,541,-0.22552083183188412,0.1804240870531826,0.007757037373579544
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,1.5,2.0,485,-0.3572028479358834,0.29512418912707267,0.013400899108773644
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,2.0,3.0,320,-0.5887379976862576,0.46858440734245876,0.026194664700354732
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,1.5,2.5,3.0,5.0,53,-1.9170143272516862,0.5095614336968114,0.06999364589909653
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,0.0,0.25,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,0.25,0.5,14,-0.26143426448106766,0.05058278913292676,0.013518819043060291
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,0.5,0.75,511,-0.02108350397906243,0.0467288025452594,0.002067160520388421
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,0.75,1.0,274,-0.06178545363521013,0.11436401415133225,0.006908982763074482
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,1.0,1.5,220,-0.11859608807307351,0.19038119086910765,0.012835497269954062
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,1.5,2.0,13,-0.23673413675994828,0.36120763306374915,0.10018097246925611
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,2.0,3.0,1,-0.07769299298524857,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta_pt,2.5,3.0,3.0,5.0,0,nan,nan,0.0
