file,label,eta_min,eta_max,pt_min,pt_max,nvtx_center,n_events,mean_offset_GeV,mean_offset_error_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,42.5,30.0,-0.3192076746587797,0.03679306704643526
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,47.5,35.0,-0.32066915540822916,0.034960043898243726
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,52.5,41.0,-0.3174274436584333,0.032438412944862084
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,57.5,52.0,-0.2651976998179005,0.023400919024019803
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,62.5,74.0,-0.2279902844362565,0.023434347930675
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,67.5,66.0,-0.18219551581481055,0.023681296157853433
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,72.5,31.0,-0.19579091950530006,0.028840409916557123
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,1.5,2.0,77.5,34.0,-0.19549867324531078,0.026309534952188948
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,42.5,10.0,-0.5827800441533327,0.09400144084012968
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,47.5,19.0,-0.5910839259036278,0.07839524120445193
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,52.5,25.0,-0.38147669050842525,0.04935843502453967
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,57.5,29.0,-0.31524718835436066,0.05178327516137831
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,62.5,45.0,-0.4121454626114832,0.04605211493268715
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-2.5,-1.5,2.0,3.0,67.5,42.0,-0.30667422749545603,0.031742740608328754
