file,label,event,nvtx,eta_min,eta_max,category,count
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,muon,3
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,HFHadron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,HFEM,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,1.5,2.5,other,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,chargedHadron,109
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,neutralHadron,12
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,photon,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,electron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,muon,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,HFHadron,4
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,HFEM,8
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,2.5,3.0,other,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,chargedHadron,2
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,neutralHadron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,photon,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,electron,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,muon,0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,HFHadron,339
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,HFEM,33
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,3.0,5.2,other,0
