file,label,event,nvtx,nvtx_branch,observable,category,eta_min,eta_max,entries,mean,stddev,q10,q25,median,q75,q90,q95,q99
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,0.0,1.5,14,0.1875,0.45069390943299864,0.013461538461538462,0.03365384615384615,0.0673076923076923,0.10096153846153846,0.12115384615384615,1.7874999999999999,1.8575
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,1.5,2.5,13,1.4086538461538463,0.9121954788947246,0.2875,0.78125,1.28125,1.96875,2.7125,3.4187499999999997,3.48375
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,1.5,2.5,13,0.2644230769230769,0.6994820569028158,0.013541666666666667,0.033854166666666664,0.06770833333333333,0.1015625,0.121875,2.6687499999999997,2.73375
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,2.5,3.0,8,6.953125,1.5340376411206473,4.35,5.6875,7.125,8.375,9.025,9.075,9.115
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,2.5,3.0,11,0.9583333333333334,2.005742623624034,0.015,0.0375,0.075,0.11249999999999999,5.225,5.675,5.735
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,neutralHadron,3.0,5.2,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,neutralHadron,3.0,5.2,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,photon,-5.2,-3.0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,photon,-5.2,-3.0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,photon,-3.0,-2.5,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,photon,-3.0,-2.5,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,pt,photon,-2.5,-1.5,12,0.875,0.7315437444199766,0.3,0.375,0.46875,1.625,2.225,2.3,2.36
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ZeroBias,8,45.0,PV_npvs,puppi_pt,photon,-2.5,-1.5,12,0.23958333333333334,0.587318973292102,0.013636363636363637,0.034090909090909095,0.06818181818181819,0.10227272727272728,0.12272727272727274,2.175,2.235
